,yearstart,locationabbr,locationdesc,data_value,sample_size,education,income,race/ethnicity,locationid
3,2011,al,alabama,33.6,1153.0,0,,,1
4,2011,al,alabama,32.8,2402.0,1,,,1
5,2011,al,alabama,33.8,1925.0,2,,,1
6,2011,al,alabama,26.4,1812.0,3,,,1
31,2011,al,alabama,33.2,1153.0,0,,,1
32,2011,al,alabama,34.1,2402.0,1,,,1
33,2011,al,alabama,35.0,1925.0,2,,,1
34,2011,al,alabama,36.8,1812.0,3,,,1
59,2011,al,alabama,36.1,1844.0,3,,,1
65,2011,al,alabama,41.2,1912.0,2,,,1
75,2011,al,alabama,46.9,2356.0,1,,,1
79,2011,al,alabama,51.4,1105.0,0,,,1
87,2011,al,alabama,34.5,1073.0,0,,,1
88,2011,al,alabama,27.1,2322.0,1,,,1
89,2011,al,alabama,20.8,1899.0,2,,,1
90,2011,al,alabama,16.0,1826.0,3,,,1
108,2011,al,alabama,32.2,1869.0,3,,,1
116,2011,al,alabama,31.5,1118.0,0,,,1
117,2011,al,alabama,40.8,2326.0,1,,,1
118,2011,al,alabama,44.0,1921.0,2,,,1
119,2011,al,alabama,52.6,1813.0,3,,,1
123,2011,al,alabama,25.4,1950.0,2,,,1
146,2011,al,alabama,7.7,1111.0,0,,,1
147,2011,al,alabama,13.2,2307.0,1,,,1
148,2011,al,alabama,16.3,1905.0,2,,,1
149,2011,al,alabama,22.6,1810.0,3,,,1
174,2011,al,alabama,19.9,1111.0,0,,,1
175,2011,al,alabama,22.6,2307.0,1,,,1
176,2011,al,alabama,25.5,1916.0,2,,,1
177,2011,al,alabama,27.3,1805.0,3,,,1
204,2011,al,alabama,18.8,1165.0,0,,,1
205,2011,al,alabama,22.9,2417.0,1,,,1
228,2011,al,alabama,46.3,1174.0,0,,,1
229,2011,al,alabama,33.5,2440.0,1,,,1
230,2011,al,alabama,31.6,1967.0,2,,,1
231,2011,al,alabama,19.6,1874.0,3,,,1
257,2012,al,alabama,35.2,1180.0,0,,,1
258,2012,al,alabama,33.5,2772.0,1,,,1
259,2012,al,alabama,34.4,2405.0,2,,,1
260,2012,al,alabama,27.8,2285.0,3,,,1
285,2012,al,alabama,30.3,1180.0,0,,,1
286,2012,al,alabama,34.5,2772.0,1,,,1
287,2012,al,alabama,35.6,2405.0,2,,,1
288,2012,al,alabama,38.1,2285.0,3,,,1
315,2012,al,alabama,43.0,1248.0,0,,,1
316,2012,al,alabama,30.9,2887.0,1,,,1
317,2012,al,alabama,21.3,2493.0,2,,,1
318,2012,al,alabama,16.2,2368.0,3,,,1
343,2013,al,alabama,33.8,766.0,0,,,1
344,2013,al,alabama,32.1,1994.0,1,,,1
345,2013,al,alabama,35.2,1813.0,2,,,1
346,2013,al,alabama,27.6,1658.0,3,,,1
372,2013,al,alabama,35.3,766.0,0,,,1
373,2013,al,alabama,36.1,1994.0,1,,,1
374,2013,al,alabama,33.6,1813.0,2,,,1
375,2013,al,alabama,38.9,1658.0,3,,,1
398,2013,al,alabama,49.5,1878.0,1,,,1
399,2013,al,alabama,44.2,1731.0,2,,,1
400,2013,al,alabama,39.5,1653.0,3,,,1
424,2013,al,alabama,51.0,700.0,0,,,1
431,2013,al,alabama,29.9,1853.0,1,,,1
434,2013,al,alabama,21.4,1719.0,2,,,1
436,2013,al,alabama,38.2,665.0,0,,,1
452,2013,al,alabama,16.6,1623.0,3,,,1
477,2013,al,alabama,25.1,1766.0,2,,,1
483,2013,al,alabama,34.2,699.0,0,,,1
484,2013,al,alabama,39.9,1874.0,1,,,1
485,2013,al,alabama,49.0,1724.0,2,,,1
490,2013,al,alabama,8.9,694.0,0,,,1
491,2013,al,alabama,12.5,1843.0,1,,,1
492,2013,al,alabama,17.4,1704.0,2,,,1
493,2013,al,alabama,24.4,1595.0,3,,,1
539,2013,al,alabama,19.6,695.0,0,,,1
540,2013,al,alabama,25.2,1864.0,1,,,1
541,2013,al,alabama,28.3,1714.0,2,,,1
542,2013,al,alabama,35.1,1594.0,3,,,1
547,2013,al,alabama,19.1,731.0,0,,,1
548,2013,al,alabama,21.3,1928.0,1,,,1
549,2013,al,alabama,34.6,1646.0,3,,,1
593,2013,al,alabama,42.1,736.0,0,,,1
594,2013,al,alabama,36.5,1962.0,1,,,1
595,2013,al,alabama,29.7,1789.0,2,,,1
596,2013,al,alabama,18.4,1664.0,3,,,1
601,2014,al,alabama,34.8,995.0,0,,,1
602,2014,al,alabama,35.4,2622.0,1,,,1
603,2014,al,alabama,34.4,2333.0,2,,,1
604,2014,al,alabama,28.1,2231.0,3,,,1
631,2014,al,alabama,29.9,995.0,0,,,1
632,2014,al,alabama,32.7,2622.0,1,,,1
633,2014,al,alabama,33.5,2333.0,2,,,1
634,2014,al,alabama,37.6,2231.0,3,,,1
656,2014,al,alabama,40.9,1061.0,0,,,1
657,2014,al,alabama,32.7,2751.0,1,,,1
658,2014,al,alabama,23.5,2469.0,2,,,1
659,2014,al,alabama,14.8,2322.0,3,,,1
684,2011,ak,alaska,28.8,245.0,0,,,2
